Region,Year,Category,Total
Europe,2010,Unsentenced,263171.3375
Europe,2011,Sentenced,1344636.0
Europe,2011,Unsentenced,248631.0
Europe,2012,Sentenced,1168704.0
Europe,2012,Unsentenced,668165.0
Europe,2013,Sentenced,1186792.0
Europe,2013,Unsentenced,924021.0
Europe,2014,Sentenced,1425877.0
Europe,2014,Unsentenced,909302.004
Europe,2015,Sentenced,1366451.0
Europe,2015,Unsentenced,806599.0
Europe,2016,Sentenced,1473025.0
Europe,2016,Unsentenced,766059.152
Europe,2017,Sentenced,1486224.0
Europe,2017,Unsentenced,822797.0
Europe,2018,Sentenced,1465701.0
Europe,2018,Unsentenced,777250.0
Europe,2019,Sentenced,1424006.0
Europe,2019,Unsentenced,763002.0
Europe,2020,Sentenced,1072801.0
Europe,2020,Unsentenced,569222.0
Europe,2021,Sentenced,1070771.0
Europe,2021,Unsentenced,556459.0
Europe,2022,Unsentenced,88545.0
Europe,2023,Unsentenced,2149.0
Oceania,1999,Unsentenced,51.0
Oceania,2000,Unsentenced,6025.0
Oceania,2002,Unsentenced,6.0
Oceania,2003,Sentenced,23881.0
Oceania,2003,Unsentenced,5849.0
Oceania,2004,Sentenced,24826.0
Oceania,2004,Unsentenced,5994.0
Oceania,2005,Sentenced,6094.0
Oceania,2005,Unsentenced,8088.15
Oceania,2006,Sentenced,6198.0
Oceania,2006,Unsentenced,1339.0
Oceania,2007,Sentenced,27136.0
Oceania,2007,Unsentenced,7573.0
Oceania,2008,Sentenced,27503.0
Oceania,2008,Unsentenced,7904.0
Oceania,2009,Sentenced,29418.0
Oceania,2009,Unsentenced,10683.05
Oceania,2010,Sentenced,30086.0
Oceania,2010,Unsentenced,8510.0
Oceania,2011,Sentenced,29009.0
Oceania,2011,Unsentenced,8886.0
Oceania,2012,Sentenced,29219.0
Oceania,2012,Unsentenced,9875.0
Oceania,2013,Sentenced,29993.0
Oceania,2013,Unsentenced,29829.0
Oceania,2014,Sentenced,32266.0
Oceania,2014,Unsentenced,31045.5
Oceania,2015,Sentenced,32929.0
Oceania,2015,Unsentenced,37411.5
Oceania,2016,Sentenced,33743.0
Oceania,2016,Unsentenced,31359.974000000002
Oceania,2017,Sentenced,52826.0
Oceania,2017,Unsentenced,77125.0
Oceania,2018,Sentenced,59923.0
Oceania,2018,Unsentenced,91947.0
Oceania,2019,Sentenced,59658.0
Oceania,2019,Unsentenced,97316.0
Oceania,2020,Sentenced,56011.0
Oceania,2020,Unsentenced,88603.0
Oceania,2021,Sentenced,54302.0
Oceania,2021,Unsentenced,90647.0
Oceania,2022,Unsentenced,3642.0
